,Houston load,North load,South load,West load
0,11634.29862977974,9083.392144517968,6187.95661851462,3914.5559131754762
1,11861.86337640804,9657.591122654625,6192.053595522048,3862.2066930206765
2,12965.64744071675,10199.999473633534,6622.670651105204,4165.277130611965
3,14122.386935330733,10949.866239747595,6998.803075648307,4621.201672395648
4,14013.888582326792,11284.530027129194,7617.522975113709,4687.236032665595
5,13640.75008832636,11019.252326168562,7229.595698474012,4526.721588782722
6,13204.114697800713,10216.069572514405,7226.246976067405,4353.279581640942
7,12077.324751895256,9556.667996670245,6217.708568032897,3979.7838165599583
8,11419.209760201167,9513.024008264847,6034.670415644991,3846.5135242586434
9,12031.7496567626,9709.744282454663,6276.266345554249,4029.4106280066485
10,12689.562360365975,10424.73710305891,6864.296896737527,4237.394666767035
11,13586.215769919594,10871.2085892043,7245.327338095536,4714.722570766202
12,14157.281992901133,11070.823431969522,7606.210979303705,4622.347905477189
13,13189.182903342014,11180.779764170971,7170.9596572637865,4631.379212229609
14,12366.409572168512,10426.149538039992,6642.324197762549,4391.857484174973
15,11768.738653883604,9802.53136685685,6119.746080814067,3858.2415018374236
16,11301.947848375383,9117.019785389106,5878.727680299557,3818.8029573306717
17,11985.892431080645,9485.079200248285,6286.729329704943,4061.043203442902
18,12584.586815990351,9917.663301375645,6794.773727209043,4371.337495616774
19,13336.040038050609,10892.765731500727,7226.862574431634,4558.8697024906805
20,14512.37812401621,11504.085260450378,7706.511809513443,4630.642629887703
21,13661.71048817232,10876.51156436049,7499.062399077086,4662.019757195306
22,12834.666836862105,10385.233063203514,6790.149542964224,4373.585194607218
23,11571.627797669948,9492.520364997952,6124.631032023463,3877.861791784111
24,11418.685442234075,9295.357883113898,6087.216790496419,3755.469324821976
25,11946.517359614145,9317.169554385948,6281.106641414973,3991.258258238529
26,12531.807288006428,10279.155934064625,6751.201396309714,4329.5141296183965
27,13837.294489581236,10329.988796652557,7222.63799804346,4550.6493840445955
28,13940.295894793317,11245.641863820223,7426.8741983551,4767.162522305379
29,13653.974023583965,10628.988379351451,7268.224548086843,4513.011775863554
30,12672.7223013859,10509.178421700504,6754.1559171112185,4094.859347819414
31,12361.65908456016,9684.326642839604,6383.860076254875,3939.67153834938
32,11550.593326659508,9329.238265518363,6206.391528617924,3856.107836031665
33,11677.348878264722,9834.09277650208,6246.633569523253,3954.6329325687952
34,13048.645701306505,10075.059573532533,7020.69490170462,4179.995857295747
35,13409.588461371408,11380.448476243508,7187.0827910453645,4415.358019418616
36,14180.191892682305,11507.581700660854,7287.625569010712,4658.670909838532
37,13206.482058948426,10944.13866824831,7386.603085988404,4663.990856044962
38,12496.44733427319,10503.222003875338,6734.714205132508,4386.661874435474
39,11976.682586182547,9332.6058824631,6403.397826703191,4071.031404623902
40,11734.411480536486,9098.349626694317,5870.785095886154,3791.64234891067
41,11980.870063307213,9435.693528672908,6545.31440767311,3888.147879688437
42,12818.753566638223,10170.032430849104,6944.656264485224,4325.363851830039
43,13674.150137225672,10773.03568153727,7116.882555443902,4643.912382084956
44,13715.390351207814,11583.234609928168,7314.836391227695,4748.811098768635
45,13558.937907852038,10948.619683798992,7582.454870632009,4400.948861079974
46,12730.101556467438,10351.2437135578,6751.460023789729,4208.569600028243
47,12192.387175297805,9442.998552239327,6261.730683604622,3977.6192819193056
48,11653.652075942602,8922.138621578806,5893.098562828485,3895.6309664928885
49,11529.380913426574,9612.258180307059,6329.0311491879465,4044.72439403069
50,12943.478031462955,9894.628928554848,6827.494823437962,4299.075066221367
51,13663.423260262052,11000.455803994382,7448.805371540304,4620.188401508621
52,13954.61852049955,11007.20618687119,7333.4955052465575,4723.381828997705
53,13937.920021438347,11453.396498854678,7120.426640901461,4652.761054868055
54,13125.298448447174,10475.622055587879,6920.592819152217,4313.530884179096
55,12173.365211924796,9580.841301351806,6502.079423839819,3988.829050403932
56,11390.717807048031,9502.377905140724,5984.600564343709,3840.995122218308
57,11888.214267927031,9407.772436819028,6517.833061868591,3993.879964087211
58,12957.691290029012,10409.86071657595,6870.439043412825,4332.388429455439
59,14051.53628601581,11070.16246478867,7511.2446419785565,4618.785031607184
60,14023.950161327482,11387.534059535703,7541.206948141689,4755.832102981089
61,13731.447475604238,11306.681804061378,6979.921403029336,4717.583156514641
62,12587.58422204882,10448.789499394827,6844.418349302258,4313.558030992925
63,11676.006368202656,9625.013419971561,6515.106286059744,3935.6408432822946
64,11785.245333399433,8970.371033730515,6074.3998710571195,3933.910518554851
65,12298.99150205709,9395.422617233462,6336.684013811062,3882.3371351756236
66,12866.766394861654,10282.960786087342,6847.964333269222,4202.2122122250585
67,14073.357764650495,11057.77440903811,6931.409956870777,4629.707961351095
68,14276.371797318432,11082.775483127927,7812.077366599977,4773.414299801876
69,13618.446559681961,11569.524462194078,7225.460319305684,4484.302674368893
70,12978.457858071482,10620.88675195939,6941.682755427163,4262.223108373775
71,12342.528841890224,9694.713208947729,6375.162856934278,3943.015524909178
72,11600.661536481715,9300.564080569726,6347.185648705669,3831.994433812544
73,12361.879400276279,9548.723694140665,6444.866535431527,4070.997536800667
74,12223.031401791646,10122.63428599721,6847.072586705944,4360.376208174123
75,14037.978964141712,11065.884328681548,7234.212213390326,4601.890634247361
